Timestamp,Celsius,Fahrenheit
2000-01-01 00:10:37,28048c8300000079,25.75,78.35
2000-01-01 00:10:43,28048c8300000079,25.69,78.24
2000-01-01 00:10:49,28048c8300000079,25.75,78.35
